StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.699|00:00:01.428|[61.0, 40.1]|[62.1, 44.0]|7225.0|137.0|pass|foot_right|success|1.4330380578551323|1.4711276743037345|61.30424128883743|44.42082844792519|1.411136355370422|1.3417854694170261|62.900000000000006|44.05008513045122|1.1000000000000014|3.8999999999999986
00:00:01.428|00:00:02.247|[62.1, 44.0]|[58.7, 46.0]|3451.0|137.0|dribble|foot|success|1.3417854694170261|1.411136355370422|62.900000000000006|44.05008513045122|1.3691454734805397|1.317197187555896|59.91402173114404|47.82980242484804|3.3999999999999986|2.0
00:00:02.247|00:00:03.773|[58.7, 46.0]|[45.8, 59.9]|3451.0|137.0|pass|foot_right|success|1.317197187555896|1.3691454734805397|59.91402173114404|47.82980242484804|1.0561292019271196|1.1583858851975093|52.61606218637043|64.61772202732003|12.900000000000006|13.899999999999999
00:00:03.773|00:00:04.155|[45.8, 59.9]|[43.6, 60.9]|3236.0|137.0|dribble|foot|success|1.1583858851975093|1.0561292019271196|52.61606218637043|64.61772202732003|1.0179904496338275|1.1578733713617992|51.23055728761888|67.0340958020618|2.1999999999999957|1.0
00:00:04.155|00:00:05.415|[43.6, 60.9]|[47.4, 75.0]|3236.0|137.0|pass|foot_right|success|1.1578733713617992|1.0179904496338275|51.23055728761888|67.0340958020618|0.8576702581086193|0.9521910353186103|62.671843757783286|70.70190945087693|3.799999999999997|14.100000000000001
00:00:05.415|00:00:06.311|[47.4, 75.0]|[44.6, 74.8]|4410.0|137.0|dribble|foot|success|0.9521910353186103|0.8576702581086193|62.671843757783286|70.70190945087693|0.8298653186017217|0.9767055184098451|60.4466707106355|72.8889566395349|2.799999999999997|0.20000000000000284
00:00:06.311|00:00:06.491|[44.6, 74.8]|[49.6, 71.9]|4410.0|137.0|pass|foot_left|success|0.9767055184098451|0.8298653186017217|60.4466707106355|72.8889566395349|0.9183239751885848|0.9708108257466409|62.42251196483526|67.12354281472336|5.0|2.8999999999999915
00:00:07.432|00:00:09.440|[49.6, 71.9]|[46.8, 71.1]|3236.0|137.0|dribble|foot|success|0.9708108257466409|0.9183239751885848|62.42251196483526|67.12354281472336|0.9005009619794563|1.0032892452211444|59.72143668734033|69.01920022718316|2.8000000000000043|0.8000000000000114
00:00:09.762|00:00:10.877|[46.8, 71.1]|[56.0, 76.8]|3236.0|137.0|pass|foot_right|success|1.0032892452211444|0.9005009619794563|59.72143668734033|69.01920022718316|0.9182148773373363|0.8528338804547503|70.482905728978|65.06027974117542|9.200000000000003|5.700000000000003
00:00:10.877|00:00:11.378|[56.0, 76.8]|[56.8, 75.2]|4410.0|137.0|dribble|foot|success|0.8528338804547503|0.9182148773373363|70.482905728978|65.06027974117542|0.943257374167859|0.8635385108776619|70.16893899725149|63.40883219236891|0.7999999999999972|1.5999999999999943
