StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.778|00:00:01.221|[60.0, 40.0]|[57.8, 40.1]|7011.0|241.0|pass|foot_right|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.4656492151605736|1.4422714319970198|58.12099448564176|47.59254143245557|2.200000000000003|0.10000000000000142
00:00:01.491|00:00:02.351|[58.4, 40.5]|[47.5, 38.4]|7471.0|241.0|pass|foot_right|success|1.432205542078949|1.459951171024454|58.760616062121066|47.05114238783156|1.4784283372507927|1.4944234247312373|47.70335417976392|57.668102101595125|10.899999999999999|2.1000000000000014
00:00:02.351|00:00:03.341|[47.5, 38.4]|[50.4, 35.7]|40430.0|241.0|dribble|foot|success|1.4944234247312373|1.4784283372507927|47.70335417976392|57.668102101595125|1.5370789512056255|1.5396708509603332|50.42866248474175|54.62645879058975|2.8999999999999986|2.6999999999999957
00:00:03.341|00:00:05.587|[50.4, 35.7]|[49.1, 7.6]|40430.0|241.0|pass|foot_right|success|1.5396708509603332|1.5370789512056255|50.42866248474175|54.62645879058975|1.0774624174045329|1.1295762157932328|55.74737661989127|61.82046586689557|1.2999999999999972|28.1
00:00:05.587|00:00:08.153|[49.1, 7.6]|[55.2, 8.1]|7479.0|241.0|dribble|foot|success|1.1295762157932328|1.0774624174045329|55.74737661989127|61.82046586689557|1.132088520028383|1.0912138116880141|60.97417486116561|56.13243269269558|6.100000000000001|0.5
00:00:08.153|00:00:10.413|[55.2, 8.1]|[35.0, 28.9]|7479.0|241.0|pass|foot_left|success|1.0912138116880141|1.132088520028383|60.97417486116561|56.13243269269558|1.426100399051437|1.4980676874512306|35.3696197321939|70.18553982124808|20.200000000000003|20.799999999999997
00:00:10.413|00:00:12.860|[35.0, 28.9]|[41.9, 29.9]|3034.0|241.0|dribble|foot|success|1.4980676874512306|1.426100399051437|35.3696197321939|70.18553982124808|1.4732548277959705|1.50591130891543|42.100118764678086|63.23306097288032|6.899999999999999|1.0
00:00:12.860|00:00:14.227|[41.9, 29.9]|[49.7, 7.2]|3034.0|241.0|pass|foot_right|success|1.50591130891543|1.4732548277959705|42.100118764678086|63.23306097288032|1.0762552218311114|1.1195207211525344|56.46529907828347|61.451851070573944|7.800000000000004|22.7
00:00:14.227|00:00:15.585|[49.7, 7.2]|[50.3, 6.8]|7479.0|241.0|dribble|foot|success|1.1195207211525344|1.0762552218311114|56.46529907828347|61.451851070573944|1.0750783400595931|1.1093449075281674|57.18330175846791|61.08952447023958|0.5999999999999943|0.40000000000000036
00:00:15.585|00:00:15.914|[50.3, 6.8]|[58.8, 6.8]|7479.0|241.0|pass|foot_left|fail|1.1093449075281674|1.0750783400595931|57.18330175846791|61.08952447023958|1.1375261107309862|1.0386939731913587|64.78641832977031|53.61231201878911|8.5|0.0
