StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.732|00:00:01.836|[60.0, 40.0]|[46.9, 41.3]|6880.0|1041.0|pass|foot_left|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.416385026812787|1.4458058737443875|47.46472374300728|58.55681002240474|13.100000000000001|1.2999999999999972
00:00:01.836|00:00:01.951|[46.9, 41.3]|[46.0, 42.3]|18398.0|1041.0|dribble|foot|success|1.4458058737443875|1.416385026812787|47.46472374300728|58.55681002240474|1.3922822827646972|1.431035513897215|46.74280693325979|59.58095333241992|0.8999999999999986|1.0
00:00:01.951|00:00:04.641|[46.0, 42.3]|[76.9, 2.5]|18398.0|1041.0|pass|foot_right|success|1.431035513897215|1.3922822827646972|46.74280693325979|59.58095333241992|1.1820219816605912|0.7284129467401281|83.10150419817923|42.212083578046695|30.900000000000006|39.8
00:00:04.681|00:00:05.398|[77.1, 2.5]|[86.4, 5.6]|6581.0|1041.0|pass|head|success|0.7248661436153413|1.182932222926617|83.28661357024909|42.07921101921946|1.253218209937538|0.5798328506749068|90.94789717195225|33.94878495616595|9.300000000000011|3.0999999999999996
00:00:05.398|00:00:05.438|[86.4, 5.6]|[86.0, 5.3]|40822.0|1041.0|dribble|foot|success|0.5798328506749068|1.253218209937538|90.94789717195225|33.94878495616595|1.248696975760847|0.5847794076184772|90.66250603198657|34.41932596667169|0.4000000000000057|0.2999999999999998
||||||||||||||||||
00:00:06.781|00:00:09.739|[25.1, 72.4]|[56.2, 70.5]|6837.0|322.0|pass|foot_right|fail|1.1227882094644008|0.5789339283399524|45.875592639223754|88.64857584868469|0.9947964580784845|0.9286079839032183|67.01261075349923|60.9400525106436|31.1|1.9000000000000057
||||||||||||||||||
00:00:09.739|00:00:11.474|[63.9, 9.6]|[64.7, 15.8]|23994.0|1041.0|pass|foot|success|1.0350413065092108|1.2060366795324007|68.40007309937614|47.797175648776566|1.2965841169249321|1.14660191889113|67.21108539519355|44.219113514406864|0.8000000000000043|6.200000000000001
00:00:11.474|00:00:12.586|[64.7, 15.8]|[63.1, 10.6]|27526.0|1041.0|dribble|foot|success|1.14660191889113|1.2965841169249321|67.21108539519355|44.219113514406864|1.215677814199477|1.0614715560947203|67.2991084636342|47.99135338787603|1.6000000000000014|5.200000000000001
00:00:13.670|00:00:14.327|[63.1, 10.6]|[69.3, 1.9]|27526.0|1041.0|pass|foot_left|success|1.0614715560947203|1.215677814199477|67.2991084636342|47.99135338787603|1.1370168099722664|0.8384456931589194|76.37342469733828|48.009374084651434|6.199999999999996|8.7
