StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:01.347|00:00:01.429|[60.0, 40.0]|[59.0, 38.0]|5217.0|209.0|pass|foot_right|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.503103304100928|1.4840579881189115|59.135437767890075|46.17358552246078|1.0|2.0
00:00:01.429|00:00:02.175|[59.0, 38.0]|[58.2, 38.6]|6801.0|209.0|dribble|foot|success|1.4840579881189115|1.503103304100928|59.135437767890075|46.17358552246078|1.4919224943222165|1.4728204361232051|58.38150392033422|47.02552498377875|0.7999999999999972|0.6000000000000014
00:00:02.175|00:00:03.692|[58.2, 38.6]|[33.4, 28.9]|6801.0|209.0|pass|foot_left|success|1.4728204361232051|1.4919224943222165|58.38150392033422|47.02552498377875|1.4192721104361312|1.4996873731732518|33.787127726399|71.78140427715245|24.800000000000004|9.700000000000003
00:00:03.692|00:00:05.993|[33.4, 28.9]|[33.4, 28.9]|6890.0|209.0|dribble|foot|success|1.4996873731732518|1.4192721104361312|33.787127726399|71.78140427715245|1.4192721104361312|1.4996873731732518|33.787127726399|71.78140427715245|0.0|0.0
00:00:05.993|00:00:09.260|[33.4, 28.9]|[80.8, 49.6]|6890.0|209.0|pass|foot_left|fail|1.4996873731732518|1.4192721104361312|33.787127726399|71.78140427715245|1.3800736898251482|0.9982067608042248|82.29216244576394|28.79236009777594|47.4|20.700000000000003
||||||||||||||||||
||||||||||||||||||
00:00:10.550|00:00:12.773|[64.9, 41.7]|[91.8, 46.0]|19668.0|209.0|pass|head|fail|1.3810855340128931|1.4527042983758027|65.35518342105698|40.83258502715692|1.4408143819904857|0.8329812666744318|92.58099156954412|17.839282496782207|26.89999999999999|4.299999999999997
00:00:12.773|00:00:13.912|[28.3, 34.1]|[27.1, 28.9]|6777.0|219.0|dribble|foot|success|1.5694925465688396|1.5672627725970352|28.300176677893727|76.70006518902053|1.3847800766090983|1.5054210731553348|27.57571395267945|78.06676629654902|1.1999999999999993|5.200000000000003
00:00:14.710|00:00:16.314|[27.1, 28.9]|[54.9, 28.0]|6777.0|219.0|pass|foot_left|fail|1.5054210731553348|1.3847800766090983|27.57571395267945|78.06676629654902|1.4619387437501563|1.4516035282810245|55.226895621608136|50.45800233857857|27.799999999999997|0.8999999999999986
00:00:16.314|00:00:17.158|[65.2, 52.1]|[70.6, 49.9]|6805.0|209.0|pass|foot_right|success|1.1439795472799725|1.3000076917862216|67.66572248930768|43.722419878135746|1.3492796667962605|1.13783565780484|72.36829416256818|37.896833640820184|5.3999999999999915|2.200000000000003
00:00:17.158|00:00:17.198|[70.6, 49.9]|[70.7, 49.9]|19668.0|209.0|dribble|foot|success|1.13783565780484|1.3492796667962605|72.36829416256818|37.896833640820184|1.3495828571504747|1.136725888799334|72.46585402794892|37.80608416644072|0.10000000000000853|0.0
00:00:17.198|00:00:17.557|[70.7, 49.9]|[66.9, 51.8]|19668.0|209.0|pass|foot_right|success|1.136725888799334|1.3495828571504747|72.46585402794892|37.80608416644072|1.3107522303277839|1.1337381944466243|69.2275234281857|42.05294282211412|3.799999999999997|1.8999999999999986
00:00:17.557|00:00:17.896|[66.9, 51.8]|[66.9, 51.8]|6805.0|209.0|dribble|foot|success|1.1337381944466243|1.3107522303277839|69.2275234281857|42.05294282211412|1.3107522303277839|1.1337381944466243|69.2275234281857|42.05294282211412|0.0|0.0
00:00:17.896|00:00:20.298|[66.9, 51.8]|[86.2, 33.6]|6805.0|209.0|pass|foot_right|success|1.1337381944466243|1.3107522303277839|69.2275234281857|42.05294282211412|1.5661559888718757|1.5495229407708355|86.20092806924993|18.804254837669053|19.299999999999997|18.199999999999996
00:00:20.298|00:00:20.983|[86.2, 33.6]|[86.5, 33.1]|5217.0|209.0|dribble|foot|success|1.5495229407708355|1.5661559888718757|86.20092806924993|18.804254837669053|1.5603920779481055|1.5221860025130112|86.50468195421564|18.521878954360975|0.29999999999999716|0.5
00:00:20.983|00:00:21.512|[86.5, 33.1]|[93.5, 21.4]|5217.0|209.0|pass|foot_left|fail|1.5221860025130112|1.5603920779481055|86.50468195421564|18.521878954360975|1.436843940893306|0.7397866663985719|94.34516415800017|17.05901521190482|7.0|11.700000000000003
||||||||||||||||||
00:00:23.315|00:00:23.446|[101.1, 19.9]|[104.4, 23.3]|6724.0|209.0|shot|foot_right|fail|0.2698491559384696|1.4322242807186463|102.07849920526849|14.629422408283933|1.4686625233287738|0.056016103543178694|104.94689133080598|10.716809226630843|3.3000000000000114|3.400000000000002
||||||||||||||||||
00:00:26.283|00:00:28.208|[93.5, 4.2]|[89.5, 5.6]|6802.0|209.0|dribble|foot|success|0.3682976814008095|1.2622580232104013|98.13404098476737|31.941978648793818|1.2635277507953442|0.4995933916307266|93.89787005039038|32.35444328063767|4.0|1.3999999999999995
00:00:28.208|00:00:29.401|[89.5, 5.6]|[86.6, 14.9]|6802.0|209.0|pass|foot_right|success|0.4995933916307266|1.2635277507953442|93.89787005039038|32.35444328063767|1.3537173991504858|0.7667336643763828|88.68128325638956|26.521123656436586|2.9000000000000057|9.3
