StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.363|00:00:01.036|[60.0, 40.0]|[56.1, 35.4]|6401.0|213.0|pass|foot_right|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.5458460686707365|1.5421742884319458|56.11746608677195|48.92003679475313|3.8999999999999986|4.600000000000001
00:00:01.322|00:00:02.376|[56.5, 36.4]|[49.6, 50.3]|3497.0|213.0|pass|foot_right|success|1.5213521227183|1.5283439716660057|56.55095047830761|48.559345135617306|1.2532856016263558|1.2846471620250213|52.209673433186694|57.7481601438522|6.899999999999999|13.899999999999999
00:00:02.376|00:00:02.712|[49.6, 50.3]|[50.3, 53.0]|6356.0|213.0|dribble|foot|success|1.2846471620250213|1.2532856016263558|52.209673433186694|57.7481601438522|1.2096312335861368|1.236484991189868|53.76885715728017|57.90587189568947|0.6999999999999957|2.700000000000003
00:00:02.712|00:00:04.978|[50.3, 53.0]|[56.3, 74.0]|6356.0|213.0|pass|foot_right|success|1.236484991189868|1.2096312335861368|53.76885715728017|57.90587189568947|0.9530716629171674|0.8831688612623573|69.06294230627594|63.0213455902046|6.0|21.0
00:00:04.978|00:00:06.558|[56.3, 74.0]|[57.6, 70.6]|6672.0|213.0|dribble|foot|success|0.8831688612623573|0.9530716629171674|69.06294230627594|63.0213455902046|1.004741418002635|0.9132680819574482|68.24456022277526|59.88589149373998|1.3000000000000043|3.4000000000000057
00:00:06.558|00:00:08.450|[57.6, 70.6]|[34.8, 64.1]|6672.0|213.0|pass|foot_right|success|0.9132680819574482|1.004741418002635|68.24456022277526|59.88589149373998|0.8576910652884806|1.1657326305923044|46.01141162798637|76.38095312314451|22.800000000000004|6.5
00:00:08.450|00:00:09.763|[34.8, 64.1]|[34.8, 61.3]|3253.0|213.0|dribble|foot|success|1.1657326305923044|0.8576910652884806|46.01141162798637|76.38095312314451|0.9055889940302634|1.1999050379822342|44.23041939660983|75.32151087172906|0.0|2.799999999999997
00:00:09.763|00:00:11.837|[34.8, 61.3]|[32.2, 26.1]|3253.0|213.0|pass|foot_right|success|1.1999050379822342|0.9055889940302634|44.23041939660983|75.32151087172906|1.330206808855128|1.4627028158841877|33.15493930020081|73.2273855876338|2.5999999999999943|35.199999999999996
00:00:11.837|00:00:12.691|[32.2, 26.1]|[32.2, 25.3]|10476.0|213.0|dribble|foot|success|1.4627028158841877|1.330206808855128|33.15493930020081|73.2273855876338|1.3069108259475057|1.4518549149571003|33.35460987629746|73.31800597397613|0.0|0.8000000000000007
00:00:12.691|00:00:14.399|[32.2, 25.3]|[45.9, 5.3]|10476.0|213.0|pass|foot_left|success|1.4518549149571003|1.3069108259475057|33.35460987629746|73.31800597397613|1.0120012017808389|1.1187206995269554|54.13409276971399|65.70007610345668|13.699999999999996|20.0
00:00:14.399|00:00:15.314|[45.9, 5.3]|[47.4, 5.3]|27483.0|213.0|dribble|foot|success|1.1187206995269554|1.0120012017808389|54.13409276971399|65.70007610345668|1.0263533261066347|1.1085385709644904|55.41164137615849|64.35409854857731|1.5|0.0
00:00:15.314|00:00:16.476|[47.4, 5.3]|[50.6, 11.7]|27483.0|213.0|pass|foot_left|success|1.1085385709644904|1.0263533261066347|55.41164137615849|64.35409854857731|1.1556935441829186|1.1817620452382998|55.29602155670876|58.79328192914561|3.200000000000003|6.3999999999999995
