StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.732|00:00:02.440|[60.0, 40.0]|[30.8, 38.3]|33500.0|2021.0|pass|foot_right|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.4320825265591113|1.5129095881615426|31.09871379976992|74.3244912528838|29.2|1.7000000000000028
00:00:03.859|00:00:07.172|[30.4, 39.3]|[89.7, 63.7]|9981.0|2021.0|pass|foot_left|success|1.4998699232467587|1.3981890769823155|30.858548248418945|74.78803380220661|1.2510538018278505|0.475695218854992|94.48904698429337|33.40928014788705|59.300000000000004|24.400000000000006
||||||||||||||||||
00:00:07.257|00:00:09.162|[89.3, 64.3]|[94.4, 48.9]|33500.0|2021.0|pass|foot|fail|0.47806338619930966|1.2436802973942345|94.30047719921676|34.12594321040812|1.414248847898015|0.6183423045698154|95.56866641321308|18.285786830213237|5.1000000000000085|15.399999999999999
||||||||||||||||||
00:00:10.422|00:00:12.496|[73.5, 63.2]|[93.7, 54.4]|161100.0|2021.0|pass|head|fail|0.8232713134295686|1.1926379143746033|79.08786253275531|42.95218271520087|1.3564255107701486|0.5058490256589746|95.89499465561276|23.320591759215716|20.200000000000003|8.800000000000004
||||||||||||||||||
||||||||||||||||||
00:00:14.624|00:00:15.802|[81.4, 53.2]|[79.7, 69.1]|161116.0|2021.0|pass|foot_left|success|0.8878420169045727|1.3391579395387498|83.63372525482768|30.423674991690266|1.1559531199264839|0.6245482236089466|87.08673837043158|43.26777091554405|1.7000000000000028|15.899999999999991
00:00:15.802|00:00:17.079|[79.7, 69.1]|[78.8, 67.6]|161100.0|2021.0|dribble|foot|success|0.6245482236089466|1.1559531199264839|87.08673837043158|43.26777091554405|1.167743900789858|0.6622782443857171|85.66446170962612|42.60751107492668|0.9000000000000057|1.5
00:00:17.079|00:00:18.882|[78.8, 67.6]|[100.2, 52.5]|161100.0|2021.0|pass|foot_left|fail|0.6622782443857171|1.167743900789858|85.66446170962612|42.60751107492668|1.388221625854043|0.2538616782035968|101.89352285596961|19.112561314486342|21.400000000000006|15.099999999999994
00:00:18.882|00:00:20.738|[19.9, 27.6]|[5.9, 39.4]|89499.0|7290.0|pass|head|success|1.4957319920573002|1.2596353916689944|20.90382740074171|85.34031872450441|0.8296171077931014|1.5163597482682707|7.998124780221923|99.24701506846439|13.999999999999998|11.799999999999997
00:00:20.738|00:00:22.389|[5.9, 39.4]|[7.6, 41.6]|164480.0|7290.0|dribble|foot|success|1.5163597482682707|0.8296171077931014|7.998124780221923|99.24701506846439|0.7853981633974482|1.4929253623297312|10.748023074035522|97.69605928593026|1.6999999999999993|2.200000000000003
00:00:22.389|00:00:23.637|[7.6, 41.6]|[22.4, 66.1]|164480.0|7290.0|pass|other|success|1.4929253623297312|0.7853981633974482|10.748023074035522|97.69605928593026|0.6092609173000879|1.2001387510951276|39.14294316987418|88.61811327262615|14.799999999999999|24.499999999999993
00:00:23.637|00:00:25.690|[22.4, 66.1]|[32.6, 74.6]|164493.0|7290.0|dribble|foot|success|1.2001387510951276|0.6092609173000879|39.14294316987418|88.61811327262615|0.676540580352708|1.05971937393366|52.06841653056102|83.00674671374611|10.200000000000003|8.5
00:00:25.690|00:00:27.074|[32.6, 74.6]|[45.2, 74.6]|164493.0|7290.0|pass|foot_right|success|1.05971937393366|0.676540580352708|52.06841653056102|83.00674671374611|0.838959937688309|0.9743518669971452|60.756892613101925|72.28001106806776|12.600000000000001|0.0
00:00:27.074|00:00:27.819|[45.2, 74.6]|[42.5, 74.6]|51364.0|7290.0|dribble|foot|success|0.9743518669971452|0.838959937688309|60.756892613101925|72.28001106806776|0.8082581997432544|0.9947023526807165|58.77593044776067|74.52925600058006|2.700000000000003|0.0
00:00:27.819|00:00:29.330|[42.5, 74.6]|[34.5, 75.6]|51364.0|7290.0|pass|foot_right|success|0.9947023526807165|0.8082581997432544|58.77593044776067|74.52925600058006|0.6923691737823057|1.0377096094039542|54.044518685987015|81.85847543168636|8.0|1.0
