StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.812|00:00:01.665|[60.0, 40.0]|[46.8, 31.7]|2988.0|941.0|pass|foot_right|success|1.4382447944982226|1.4711276743037347|60.29925372672534|45.39823785126467|1.5216905366427613|1.5312979799901159|46.85648300929125|58.24542900520178|13.200000000000003|8.3
00:00:01.665|00:00:02.425|[46.8, 31.7]|[47.0, 31.4]|8118.0|941.0|dribble|foot|success|1.5312979799901159|1.5216905366427613|46.85648300929125|58.24542900520178|1.5155335038450752|1.5259987316339212|47.071859959003106|58.058246614929736|0.20000000000000284|0.3000000000000007
00:00:02.747|00:00:03.875|[47.0, 31.4]|[38.0, 42.1]|8118.0|941.0|pass|foot_right|success|1.5259987316339212|1.5155335038450752|47.071859959003106|58.058246614929736|1.3607815478905827|1.450484684593185|38.85369995251418|67.48785075848838|9.0|10.700000000000003
00:00:03.875|00:00:04.934|[38.0, 42.1]|[38.0, 42.1]|6994.0|941.0|dribble|foot|success|1.450484684593185|1.3607815478905827|38.85369995251418|67.48785075848838|1.3607815478905827|1.450484684593185|38.85369995251418|67.48785075848838|0.0|0.0
00:00:04.934|00:00:06.640|[38.0, 42.1]|[36.9, 19.4]|6994.0|941.0|pass|foot_right|success|1.450484684593185|1.3607815478905827|38.85369995251418|67.48785075848838|1.1940334979412537|1.3596027127862849|39.68337183254467|69.64746944433803|1.1000000000000014|22.700000000000003
00:00:06.640|00:00:07.509|[36.9, 19.4]|[36.9, 18.1]|3306.0|941.0|dribble|foot|success|1.3596027127862849|1.1940334979412537|39.68337183254467|69.64746944433803|1.1639437587089414|1.3414251371478225|40.17984569407901|69.93153794962613|0.0|1.2999999999999972
00:00:07.509|00:00:08.505|[36.9, 18.1]|[45.9, 3.7]|3306.0|941.0|pass|foot_left|success|1.3414251371478225|1.1639437587089414|40.17984569407901|69.93153794962613|0.9873322699970494|1.0970480512087686|54.99909090157764|66.41460682711296|9.0|14.400000000000002
00:00:08.505|00:00:09.764|[45.9, 3.7]|[45.9, 3.7]|3311.0|941.0|dribble|foot|success|1.0970480512087686|0.9873322699970494|54.99909090157764|66.41460682711296|0.9873322699970494|1.0970480512087686|54.99909090157764|66.41460682711296|0.0|0.0
00:00:09.764|00:00:11.874|[45.9, 3.7]|[32.5, 21.6]|3311.0|941.0|pass|foot_left|success|1.0970480512087686|0.9873322699970494|54.99909090157764|66.41460682711296|1.206305665072143|1.401400915857738|34.78519800144883|73.55277017216959|13.399999999999999|17.900000000000002
00:00:11.874|00:00:13.188|[32.5, 21.6]|[33.0, 21.0]|3669.0|941.0|dribble|foot|success|1.401400915857738|1.206305665072143|34.78519800144883|73.55277017216959|1.1955255039389392|1.3921653202809472|35.4682957019364|73.16419889536138|0.5|0.6000000000000014
